task,team,user,timestamp,elapsed_since_task_start_ms,correct_submission_time_ms,rank_video,rank_shot_margin_0,rank_shot_margin_5,max_rank,category,type,value,additionals,teamFamily
vbse001,cvhunter2,2,1668157262045,13678.0,29754.0,2.0,2.0,2.0,10000.0,TEXT,JointEmbedding,CLIP: A woman holding a steaming mug close to the camera.,{},cvhunter
vbse001,cvhunter2,2,1668157262836,14469.0,29754.0,2.0,2.0,2.0,10000.0,TEXT,JointEmbedding,CLIP: A woman holding a steaming mug close to the camera.,{},cvhunter
vbse002,cvhunter2,2,1668157581353,9379.0,34016.0,136.0,136.0,136.0,10000.0,TEXT,JointEmbedding,CLIP: Viewer moving fast backwards on railway tracks.,{},cvhunter
vbse002,cvhunter2,2,1668157582077,10103.0,34016.0,136.0,136.0,136.0,10000.0,TEXT,JointEmbedding,CLIP: Viewer moving fast backwards on railway tracks.,{},cvhunter
vbse003,cvhunter2,2,1668157951811,9234.0,57754.0,46.0,48.0,48.0,10000.0,TEXT,JointEmbedding,CLIP: Close-up shot of water waves reflecting the sun.,{},cvhunter
vbse003,cvhunter2,2,1668157952595,10018.0,57754.0,46.0,48.0,48.0,10000.0,TEXT,JointEmbedding,CLIP: Close-up shot of water waves reflecting the sun.,{},cvhunter
vbse004,cvhunter2,2,1668158282392,7805.0,13570.0,3.0,3.0,3.0,10000.0,TEXT,JointEmbedding,CLIP: A woman having a mobile phone call in bed,{},cvhunter
vbse004,cvhunter2,2,1668158283104,8517.0,13570.0,3.0,3.0,3.0,10000.0,TEXT,JointEmbedding,CLIP: A woman having a mobile phone call in bed,{},cvhunter
vbse005,cvhunter2,2,1668158414050,12237.0,17061.0,2.0,2.0,2.0,10000.0,TEXT,JointEmbedding,CLIP: A red seaplane on a lake with forests around.,{},cvhunter
vbse005,cvhunter2,2,1668158414778,12965.0,17061.0,2.0,2.0,2.0,10000.0,TEXT,JointEmbedding,CLIP: A red seaplane on a lake with forests around.,{},cvhunter
vbse006,cvhunter2,2,1668158464794,8515.0,210082.0,42.0,105.0,105.0,10000.0,TEXT,JointEmbedding,CLIP: Woman in yellow shirt standing in a room with a yellow sofa.,{},cvhunter
vbse006,cvhunter2,2,1668158465879,9600.0,210082.0,42.0,105.0,105.0,10000.0,TEXT,JointEmbedding,CLIP: Woman in yellow shirt standing in a room with a yellow sofa.,{},cvhunter
vbse006,cvhunter2,2,1668158490669,34390.0,210082.0,2633.0,inf,inf,10000.0,IMAGE,JointEmbedding,13822:5327 : rows=True,{},cvhunter
vbse006,cvhunter2,2,1668158510739,54460.0,210082.0,18.0,18.0,18.0,10000.0,TEXT,JointEmbedding,"CLIP: Woman in yellow shirt standing in a room with a yellow sofa, lights",{},cvhunter
vbse006,cvhunter2,2,1668158511450,55171.0,210082.0,18.0,18.0,18.0,10000.0,TEXT,JointEmbedding,"CLIP: Woman in yellow shirt standing in a room with a yellow sofa, lights",{},cvhunter
vbse006,cvhunter2,2,1668158530390,74111.0,210082.0,8.0,8.0,8.0,10000.0,TEXT,JointEmbedding,CLIP: Woman in yellow shirt standing in a room with a yellow sofa in dark with lights,{},cvhunter
vbse006,cvhunter2,2,1668158531118,74839.0,210082.0,8.0,8.0,8.0,10000.0,TEXT,JointEmbedding,CLIP: Woman in yellow shirt standing in a room with a yellow sofa in dark with lights,{},cvhunter
vbse006,cvhunter2,2,1668158559590,103311.0,210082.0,32.0,32.0,32.0,10000.0,TEXT,JointEmbedding,CLIP: Woman in yellow shirt standing in dark with lights,{},cvhunter
vbse006,cvhunter2,2,1668158560325,104046.0,210082.0,32.0,32.0,32.0,10000.0,TEXT,JointEmbedding,CLIP: Woman in yellow shirt standing in dark with lights,{},cvhunter
vbse006,cvhunter2,2,1668158564404,108125.0,210082.0,inf,inf,inf,10000.0,IMAGE,JointEmbedding,10143:14213 : rows=True,{},cvhunter
vbse006,cvhunter2,2,1668158591107,134828.0,210082.0,inf,inf,inf,10000.0,IMAGE,JointEmbedding,6847:36931 : rows=True,{},cvhunter
vbse006,cvhunter2,2,1668158599401,143122.0,210082.0,inf,inf,inf,10000.0,IMAGE,JointEmbedding,109:13488 : rows=True,{},cvhunter
vbse006,cvhunter2,2,1668158617030,160751.0,210082.0,5.0,5.0,5.0,10000.0,TEXT,JointEmbedding,CLIP: Woman in yellow shirt standing in dark with lights in a room.,{},cvhunter
vbse006,cvhunter2,2,1668158617794,161515.0,210082.0,5.0,5.0,5.0,10000.0,TEXT,JointEmbedding,CLIP: Woman in yellow shirt standing in dark with lights in a room.,{},cvhunter
vbse006,cvhunter2,2,1668158645892,189613.0,210082.0,1.0,13.0,13.0,10000.0,IMAGE,JointEmbedding,7353:1573 : rows=True,{},cvhunter
vbse007,cvhunter2,2,1668158714130,8540.0,13807.0,6.0,6.0,6.0,10000.0,TEXT,JointEmbedding,CLIP: Four people waving on a mountain summit.,{},cvhunter
vbse007,cvhunter2,2,1668158715195,9605.0,13807.0,6.0,6.0,6.0,10000.0,TEXT,JointEmbedding,CLIP: Four people waving on a mountain summit.,{},cvhunter
vbse008,cvhunter2,2,1668158779713,7774.0,,255.0,4069.0,2746.0,10000.0,TEXT,JointEmbedding,CLIP: A white van driving between ruins.,{},cvhunter
vbse008,cvhunter2,2,1668158780750,8811.0,,255.0,4069.0,2746.0,10000.0,TEXT,JointEmbedding,CLIP: A white van driving between ruins.,{},cvhunter
vbse008,cvhunter2,2,1668158814492,42553.0,,134.0,134.0,134.0,10000.0,IMAGE,feedbackModel,Bayes CLIP 14123:4856_842:21162_3949:713_4243:6512_3205:6538_9442:300_3949:743_15545:2000_2367:6006_15647:15188_| group:1|6249:21344_6135:3800_6594:1675_6390:1875_,{},cvhunter
vbse008,cvhunter2,2,1668158836947,65008.0,,16.0,inf,inf,10000.0,TEXT,JointEmbedding,Temporal CLIP: ruins > white van,{},cvhunter
vbse008,cvhunter2,2,1668158837987,66048.0,,16.0,inf,inf,10000.0,TEXT,JointEmbedding,Temporal CLIP: ruins > white van,{},cvhunter
vbse008,cvhunter2,2,1668158859094,87155.0,,17.0,1215.0,1215.0,10000.0,IMAGE,feedbackModel,Temporal Bayes CLIP 6594:1450_15527:6456_15239:4653_7397:16862_2357:24418_16220:5185_6916:5200_3949:653_14966:6025_2553:14011_| group:1|7397:16975_| group:2|2357:24493_,{},cvhunter
vbse008,cvhunter2,2,1668158876193,104254.0,,51.0,9032.0,9032.0,10000.0,TEXT,JointEmbedding,Temporal CLIP: ruins with rocks > white van,{},cvhunter
vbse008,cvhunter2,2,1668158877274,105335.0,,51.0,9032.0,9032.0,10000.0,TEXT,JointEmbedding,Temporal CLIP: ruins with rocks > white van,{},cvhunter
vbse008,cvhunter2,2,1668158900445,128506.0,,6.0,278.0,278.0,10000.0,IMAGE,feedbackModel,Temporal Bayes CLIP 6594:1450_6958:1331_7397:17044_13296:1712_15527:6662_14966:7350_2697:1019_10653:4711_8793:29138_1284:3746_| group:1|7397:16975_| group:2|6594:1762_,{},cvhunter
vbse008,cvhunter2,2,1668158916942,145003.0,,inf,inf,inf,10000.0,IMAGE,feedbackModel,Temporal Bayes CLIP ,{},cvhunter
vbse008,cvhunter2,2,1668158922129,150190.0,,51.0,9032.0,9032.0,10000.0,TEXT,JointEmbedding,Temporal CLIP: ruins with rocks > white van,{},cvhunter
vbse008,cvhunter2,2,1668158923326,151387.0,,51.0,9032.0,9032.0,10000.0,TEXT,JointEmbedding,Temporal CLIP: ruins with rocks > white van,{},cvhunter
vbse008,cvhunter2,2,1668158951679,179740.0,,69.0,977.0,977.0,10000.0,IMAGE,feedbackModel,Temporal Bayes CLIP 6594:1450_6958:1356_7397:17044_13296:1712_15527:6662_14966:7350_2697:1019_10653:4711_8793:29138_1284:3746_| group:1|6594:1600_2569:4358_16866:10785_| group:2|6594:1812_,{},cvhunter
vbse008,cvhunter2,2,1668158965312,193373.0,,431.0,6456.0,2720.0,8137.0,IMAGE,JointEmbedding,7384:15794 : rows=True,{},cvhunter
vbse008,cvhunter2,2,1668159020995,249056.0,,33.0,503.0,503.0,10000.0,IMAGE,feedbackModel,Temporal Bayes CLIP 6594:1450_6594:7356_13552:4735_16866:10672_6915:5415_2569:5209_11185:3706_5139:3825_13943:981_16720:10012_| group:1|1226:5181_2815:5750_14080:5432_10569:2869_,{},cvhunter
vbse009,cvhunter2,2,1668159104489,8417.0,13900.0,12.0,12.0,12.0,3371.0,TEXT,JointEmbedding,CLIP: Two men running backwards up a downwards moving escalator.,{},cvhunter
vbse009,cvhunter2,2,1668159105480,9408.0,13900.0,12.0,12.0,12.0,3371.0,TEXT,JointEmbedding,CLIP: Two men running backwards up a downwards moving escalator.,{},cvhunter
vbse010,cvhunter2,2,1668159236231,9748.0,120805.0,232.0,232.0,232.0,6303.0,TEXT,JointEmbedding,CLIP: People dancing and drumming on the street at night.,{},cvhunter
