task,team,user,timestamp,elapsed_since_task_start_ms,correct_submission_time_ms,rank_video,rank_shot_margin_0,rank_shot_margin_5,category,type,value,additionals,teamFamily
vbse001,cvhunter4,4,1668157262675,14308.0,17000.0,1.0,1.0,1.0,TEXT,JointEmbedding,CLIP: A woman holding a steaming mug close to the camera,{},cvhunter
vbse002,cvhunter4,4,1668157586948,14974.0,139453.0,135.0,135.0,135.0,TEXT,JointEmbedding,CLIP: Viewer moving fast backwards on railway tracks,{},cvhunter
vbse002,cvhunter4,4,1668157588245,16271.0,139453.0,135.0,135.0,135.0,TEXT,JointEmbedding,CLIP: Viewer moving fast backwards on railway tracks,{},cvhunter
vbse002,cvhunter4,4,1668157615796,43822.0,139453.0,inf,inf,inf,IMAGE,JointEmbedding,16612:962 : rows=False,{},cvhunter
vbse002,cvhunter4,4,1668157684803,112829.0,139453.0,133.0,133.0,133.0,IMAGE,feedbackModel,Bayes CLIP 15821:2727_10911:25534_12565:4812_9853:22695_3896:46028_10529:3681_2213:612_5189:10317_7113:4738_12119:2570_| group:1|16612:962_,{},cvhunter
vbse003,cvhunter4,4,1668157960967,18390.0,75545.0,46.0,48.0,48.0,TEXT,JointEmbedding,CLIP: Close-up shot of water waves reflecting the sun.,{},cvhunter
vbse003,cvhunter4,4,1668157961839,19262.0,75545.0,46.0,48.0,48.0,TEXT,JointEmbedding,CLIP: Close-up shot of water waves reflecting the sun.,{},cvhunter
vbse004,cvhunter4,4,1668158287423,12836.0,15454.0,3.0,3.0,3.0,TEXT,JointEmbedding,CLIP: A woman having a mobile phone call in bed,{},cvhunter
vbse005,cvhunter4,4,1668158412024,10211.0,18034.0,2.0,2.0,2.0,TEXT,JointEmbedding,CLIP: A red seaplane on a lake with forests around.,{},cvhunter
vbse006,cvhunter4,4,1668158468639,12360.0,96640.0,42.0,105.0,105.0,TEXT,JointEmbedding,CLIP: Woman in yellow shirt standing in a room with a yellow sofa.,{},cvhunter
vbse006,cvhunter4,4,1668158518606,62327.0,96640.0,77.0,77.0,77.0,TEXT,JointEmbedding,CLIP: Woman in yellow shirt standing in a room with a yellow sofa. blinking and stripes,{},cvhunter
vbse006,cvhunter4,4,1668158519540,63261.0,96640.0,77.0,77.0,77.0,TEXT,JointEmbedding,CLIP: Woman in yellow shirt standing in a room with a yellow sofa. blinking and stripes,{},cvhunter
vbse007,cvhunter4,4,1668158718589,12999.0,15900.0,6.0,6.0,6.0,TEXT,JointEmbedding,CLIP: Four people waving on a mountain summit.,{},cvhunter
vbse008,cvhunter4,4,1668158782592,10653.0,102208.0,255.0,4069.0,2746.0,TEXT,JointEmbedding,CLIP: A white van driving between ruins.,{},cvhunter
vbse008,cvhunter4,4,1668158826763,54824.0,102208.0,20.0,99.0,99.0,TEXT,JointEmbedding,CLIP: A white van driving between ancient ruins and clouds.,{},cvhunter
vbse008,cvhunter4,4,1668158827851,55912.0,102208.0,20.0,99.0,99.0,TEXT,JointEmbedding,CLIP: A white van driving between ancient ruins and clouds.,{},cvhunter
vbse008,cvhunter4,4,1668158856627,84688.0,102208.0,3.0,21.0,21.0,TEXT,JointEmbedding,Temporal CLIP: ancient ruins and clouds > white van,{},cvhunter
vbse008,cvhunter4,4,1668158858218,86279.0,102208.0,3.0,21.0,21.0,TEXT,JointEmbedding,Temporal CLIP: ancient ruins and clouds > white van,{},cvhunter
vbse009,cvhunter4,4,1668159108533,12461.0,17886.0,12.0,12.0,12.0,TEXT,JointEmbedding,CLIP: Two men running backwards up a downwards moving escalator.,{},cvhunter
vbse010,cvhunter4,4,1668159244028,17545.0,,232.0,232.0,232.0,TEXT,JointEmbedding,CLIP: People dancing and drumming on the street at night.,{},cvhunter
vbse010,cvhunter4,4,1668159276338,49855.0,,291.0,291.0,291.0,IMAGE,feedbackModel,Bayes CLIP 14591:176_3674:5425_7224:4653_7049:2292_4429:8024_6878:4044_3912:7446_11765:2162_11360:10452_13949:1124_| group:1|15545:17406_,{},cvhunter
vbse010,cvhunter4,4,1668159328410,101927.0,,inf,inf,inf,TEXT,JointEmbedding,Temporal CLIP: drums > woman with red dress,{},cvhunter
vbse010,cvhunter4,4,1668159329897,103414.0,,inf,inf,inf,TEXT,JointEmbedding,Temporal CLIP: drums > woman with red dress,{},cvhunter
vbse010,cvhunter4,4,1668159344860,118377.0,,2538.0,2538.0,2538.0,TEXT,JointEmbedding,Temporal CLIP: drums on a street > woman with red dress,{},cvhunter
vbse010,cvhunter4,4,1668159346329,119846.0,,2538.0,2538.0,2538.0,TEXT,JointEmbedding,Temporal CLIP: drums on a street > woman with red dress,{},cvhunter
vbse010,cvhunter4,4,1668159390343,163860.0,,585.0,585.0,585.0,IMAGE,feedbackModel,Temporal Bayes CLIP 9259:1828_9957:11666_11360:10782_7525:3744_9259:6436_9259:2083_1421:2435_11607:2744_9450:457_3188:4633_| group:1|9259:1918_| group:2|9957:11756_,{},cvhunter
vbse010,cvhunter4,4,1668159429516,203033.0,,18.0,18.0,18.0,TEXT,JointEmbedding,Temporal CLIP: drums on a street > child with red dress and lights,{},cvhunter
vbse010,cvhunter4,4,1668159477407,250924.0,,1388.0,1388.0,1388.0,TEXT,JointEmbedding,CLIP: two drums on the street,{},cvhunter
vbse010,cvhunter4,4,1668159478297,251814.0,,1388.0,1388.0,1388.0,TEXT,JointEmbedding,CLIP: two drums on the street,{},cvhunter
vbse010,cvhunter4,4,1668159485642,259159.0,,1388.0,1388.0,1388.0,TEXT,JointEmbedding,CLIP: two drums on the street,{},cvhunter
vbse010,cvhunter4,4,1668159498503,272020.0,,81.0,1341.0,1341.0,TEXT,JointEmbedding,CLIP: lemondequitourne,{},cvhunter
vbse010,cvhunter4,4,1668159499425,272942.0,,81.0,1341.0,1341.0,TEXT,JointEmbedding,CLIP: lemondequitourne,{},cvhunter
vbse010,cvhunter4,4,1668159513667,287184.0,,89.0,1318.0,1318.0,TEXT,JointEmbedding,CLIP: lemondequitourne street,{},cvhunter
vbse010,cvhunter4,4,1668159514625,288142.0,,89.0,1318.0,1318.0,TEXT,JointEmbedding,CLIP: lemondequitourne street,{},cvhunter
