task,team,user,timestamp,elapsed_since_task_start_ms,correct_submission_time_ms,rank_video,rank_shot_margin_0,rank_shot_margin_5,category,type,value,additionals,teamFamily
vbse001,vibro2,2,1668157255000,6633.0,64518.0,47.0,47.0,47.0,TEXT,jointEmbedding,A woman holding a steaming mug close to the camera.,{},vibro
vbse001,vibro2,2,1668157303000,54633.0,64518.0,25.0,25.0,25.0,TEXT,jointEmbedding,A woman holding a steaming mug ,{},vibro
vbse002,vibro2,2,1668157577000,5026.0,145872.0,inf,inf,inf,TEXT,jointEmbedding,Viewer moving fast backwards on railway tracks.,{},vibro
vbse002,vibro2,2,1668157594000,22026.0,145872.0,1281.0,1281.0,1281.0,IMAGE,globalFeatures, video 01814 at 00:26:35:50 (Frame #47865),{},vibro
vbse002,vibro2,2,1668157604000,32026.0,145872.0,4343.0,4343.0,4343.0,IMAGE,globalFeatures, video 11588 at 00:09:24:00 (Frame #8460),{},vibro
vbse002,vibro2,2,1668157615000,43026.0,145872.0,inf,inf,inf,IMAGE,globalFeatures, video 11588 at 00:09:24:00 (Frame #8460),{},vibro
vbse002,vibro2,2,1668157620000,48026.0,145872.0,4343.0,4343.0,4343.0,IMAGE,globalFeatures, video 11588 at 00:09:24:00 (Frame #8460),{},vibro
vbse002,vibro2,2,1668157629000,57026.0,145872.0,1123.0,1123.0,1123.0,IMAGE,globalFeatures, video 11588 at 00:09:24:00 (Frame #8460),{},vibro
vbse002,vibro2,2,1668157639000,67026.0,145872.0,737.0,737.0,737.0,IMAGE,globalFeatures, video 10335 at 00:27:52:50 (Frame #41812),{},vibro
vbse002,vibro2,2,1668157642000,70026.0,145872.0,1123.0,1123.0,1123.0,IMAGE,globalFeatures, video 11588 at 00:09:24:00 (Frame #8460),{},vibro
vbse002,vibro2,2,1668157653000,81026.0,145872.0,2018.0,2018.0,2018.0,IMAGE,globalFeatures, video 14665 at 00:08:58:50 (Frame #13462),{},vibro
vbse002,vibro2,2,1668157656000,84026.0,145872.0,1123.0,1123.0,1123.0,IMAGE,globalFeatures, video 11588 at 00:09:24:00 (Frame #8460),{},vibro
vbse002,vibro2,2,1668157658000,86026.0,145872.0,233.0,233.0,233.0,IMAGE,globalFeatures, video 06568 at 00:01:42:00 (Frame #3056),{},vibro
vbse002,vibro2,2,1668157668000,96026.0,145872.0,1123.0,1123.0,1123.0,IMAGE,globalFeatures, video 11588 at 00:09:24:00 (Frame #8460),{},vibro
vbse002,vibro2,2,1668157685000,113026.0,145872.0,4.0,4.0,4.0,IMAGE,globalFeatures, video 04858 at 00:00:03:50 (Frame #105),{},vibro
vbse002,vibro2,2,1668157704000,132026.0,145872.0,1.0,1.0,1.0,IMAGE,globalFeatures, video 16670 at 00:03:30:50 (Frame #5262),{},vibro
vbse003,vibro2,2,1668157945000,2423.0,67960.0,4.0,inf,inf,TEXT,jointEmbedding,Close-up shot of water waves reflecting the sun.,{},vibro
vbse003,vibro2,2,1668157951000,8423.0,67960.0,1.0,inf,4.0,IMAGE,globalFeatures, video 11237 at 00:02:41:00 (Frame #3864),{},vibro
vbse003,vibro2,2,1668157991000,48423.0,67960.0,1.0,inf,1.0,IMAGE,globalFeatures, video 11237 at 00:02:00:50 (Frame #2892),{},vibro
vbse004,vibro2,2,1668158278000,3413.0,13730.0,6.0,6.0,6.0,TEXT,jointEmbedding,A woman having a mobile phone call in bed,{},vibro
vbse005,vibro2,2,1668158404000,2187.0,16120.0,1.0,inf,1.0,TEXT,jointEmbedding,A red seaplane on a lake with forests around.,{},vibro
vbse006,vibro2,2,1668158459000,2721.0,33321.0,10.0,10.0,10.0,TEXT,jointEmbedding,Woman in yellow shirt standing in a room with a yellow sofa.,{},vibro
vbse007,vibro2,2,1668158712000,6410.0,15017.0,27.0,27.0,27.0,TEXT,jointEmbedding,Four people waving on a mountain summit.,{},vibro
vbse008,vibro2,2,1668158777000,5061.0,126593.0,21.0,876.0,876.0,TEXT,jointEmbedding,A white van driving between ruins.,{},vibro
vbse008,vibro2,2,1668158815000,43061.0,126593.0,524.0,2120.0,2120.0,IMAGE,globalFeatures, video 11062 at 00:03:29:50 (Frame #6278),{},vibro
vbse008,vibro2,2,1668158818000,46061.0,126593.0,48.0,469.0,469.0,IMAGE,globalFeatures, video 11062 at 00:03:29:50 (Frame #6278),{},vibro
vbse008,vibro2,2,1668158840000,68061.0,126593.0,131.0,199.0,199.0,IMAGE,globalFeatures, video 11062 at 00:03:29:50 (Frame #6278),{},vibro
vbse008,vibro2,2,1668158865000,93061.0,126593.0,75.0,75.0,75.0,IMAGE,globalFeatures, video 11062 at 00:03:29:50 (Frame #6278),{},vibro
vbse008,vibro2,2,1668158875000,103061.0,126593.0,59.0,6313.0,4594.0,IMAGE,globalFeatures, video 14123 at 00:01:07:50 (Frame #1687),{},vibro
vbse008,vibro2,2,1668158893000,121061.0,126593.0,1.0,1.0,1.0,IMAGE,globalFeatures, video 14123 at 00:01:07:50 (Frame #1687),{},vibro
vbse009,vibro2,2,1668159099000,2928.0,48642.0,99.0,inf,99.0,IMAGE,globalFeatures, video 14123 at 00:01:07:50 (Frame #1687),{},vibro
vbse009,vibro2,2,1668159132000,35928.0,48642.0,26.0,26.0,26.0,IMAGE,globalFeatures, video 04650 at 00:06:31:00 (Frame #9384),{},vibro
vbse010,vibro2,2,1668159232000,5517.0,181539.0,251.0,251.0,251.0,TEXT,jointEmbedding,People dancing and drumming on the street at night.,{},vibro
vbse010,vibro2,2,1668159275000,48517.0,181539.0,4115.0,4115.0,4115.0,IMAGE,globalFeatures, video 15312 at 00:02:46:00 (Frame #9950),{},vibro
vbse010,vibro2,2,1668159291000,64517.0,181539.0,5870.0,5870.0,5870.0,IMAGE,globalFeatures, video 08248 at 00:04:57:50 (Frame #7132),{},vibro
vbse010,vibro2,2,1668159295000,68517.0,181539.0,inf,inf,inf,IMAGE,globalFeatures, video 15312 at 00:02:46:00 (Frame #9950),{},vibro
vbse010,vibro2,2,1668159305000,78517.0,181539.0,inf,inf,inf,IMAGE,globalFeatures, video 08248 at 00:04:57:50 (Frame #7132),{},vibro
vbse010,vibro2,2,1668159315000,88517.0,181539.0,inf,inf,inf,IMAGE,globalFeatures, video 15312 at 00:02:46:00 (Frame #9950),{},vibro
vbse010,vibro2,2,1668159325000,98517.0,181539.0,inf,inf,inf,IMAGE,globalFeatures, video 13813 at 00:00:34:50 (Frame #828),{},vibro
vbse010,vibro2,2,1668159334000,107517.0,181539.0,1542.0,1542.0,1542.0,IMAGE,globalFeatures, video 13813 at 00:00:34:50 (Frame #828),{},vibro
vbse010,vibro2,2,1668159363000,136517.0,181539.0,2426.0,2426.0,2426.0,TEXT,jointEmbedding,Woman dancing on the street at night.,{},vibro
vbse010,vibro2,2,1668159367000,140517.0,181539.0,inf,inf,inf,IMAGE,globalFeatures, video 03912 at 00:06:54:50 (Frame #9948),{},vibro
vbse010,vibro2,2,1668159368000,141517.0,181539.0,inf,inf,inf,TEMPORAL,frame > text,frame 0070.jpg in video 13813 at 00:00:34:50 (Frame #828)  >  Woman dancing on the street at night.,{},vibro
vbse010,vibro2,2,1668159387000,160517.0,181539.0,24.0,222.0,222.0,TEMPORAL,frame > frame,frame 0070.jpg in video 13813 at 00:00:34:50 (Frame #828)  >  frame 0830.jpg in video 03912 at 00:06:54:50 (Frame #9948),{},vibro
vbse010,vibro2,2,1668159390000,163517.0,181539.0,1.0,inf,inf,TEMPORAL,frame > text,frame 0070.jpg in video 13813 at 00:00:34:50 (Frame #828)  >  lemondequiteourne,{},vibro
