task,team,user,timestamp,elapsed_since_task_start_ms,correct_submission_time_ms,rank_video,rank_shot_margin_0,rank_shot_margin_5,max_rank,category,type,value,additionals,teamFamily
vbse001,vibro3,3,1668157258000,9633.0,78158.0,76.0,76.0,76.0,10000.0,TEXT,jointEmbedding, woman holding a steaming mug close to the camera.,{},vibro
vbse001,vibro3,3,1668157279000,30633.0,78158.0,inf,inf,inf,10000.0,IMAGE,globalFeatures, video 06188 at 00:00:20:50 (Frame #512),{},vibro
vbse001,vibro3,3,1668157284000,35633.0,78158.0,76.0,76.0,76.0,10000.0,IMAGE,globalFeatures, video 06188 at 00:00:20:50 (Frame #512),{},vibro
vbse001,vibro3,3,1668157291000,42633.0,78158.0,931.0,931.0,931.0,10000.0,IMAGE,globalFeatures, video 11789 at 00:15:10:50 (Frame #27287),{},vibro
vbse001,vibro3,3,1668157320000,71633.0,78158.0,2.0,2.0,2.0,10000.0,IMAGE,globalFeatures, video 11789 at 00:15:10:50 (Frame #27287),{},vibro
vbse002,vibro3,3,1668157583000,11026.0,,inf,inf,inf,10000.0,TEXT,jointEmbedding,Viewer moving fast backwards on railway tracks.,{},vibro
vbse002,vibro3,3,1668157596000,24026.0,,1281.0,1281.0,1281.0,10000.0,IMAGE,globalFeatures, video 01814 at 00:26:35:50 (Frame #47865),{},vibro
vbse002,vibro3,3,1668157635000,63026.0,,338.0,338.0,338.0,10000.0,TEXT,jointEmbedding,colorfull blury railway tracks,{},vibro
vbse002,vibro3,3,1668157647000,75026.0,,573.0,573.0,573.0,10000.0,IMAGE,globalFeatures, video 09988 at 00:02:24:00 (Frame #3456),{},vibro
vbse002,vibro3,3,1668157669000,97026.0,,338.0,338.0,338.0,10000.0,TEXT,jointEmbedding,colorfull blury railway tracks,{},vibro
vbse002,vibro3,3,1668157684000,112026.0,,914.0,914.0,914.0,10000.0,TEXT,jointEmbedding,blury railway tracks with blue sky,{},vibro
vbse002,vibro3,3,1668157730000,158026.0,,7736.0,7736.0,7736.0,10000.0,TEXT,jointEmbedding,grey railway tracks and blue sky green on the right,{},vibro
vbse002,vibro3,3,1668157737000,165026.0,,4737.0,4737.0,4737.0,10000.0,TEXT,jointEmbedding,grey railway tracks and blue sky green on the right moving,{},vibro
vbse002,vibro3,3,1668157757000,185026.0,,4574.0,inf,inf,10000.0,TEXT,jointEmbedding,blue sky,{},vibro
vbse002,vibro3,3,1668157767000,195026.0,,1101.0,1101.0,1101.0,10000.0,TEXT,jointEmbedding,blury railway tracks,{},vibro
vbse002,vibro3,3,1668157773000,201026.0,,inf,inf,inf,10000.0,IMAGE,globalFeatures, video 12936 at 00:00:22:50 (Frame #562),{},vibro
vbse002,vibro3,3,1668157777000,205026.0,,inf,inf,inf,10000.0,IMAGE,globalFeatures, video 08078 at 00:00:56:50 (Frame #1356),{},vibro
vbse002,vibro3,3,1668157778000,206026.0,,inf,inf,inf,10000.0,TEMPORAL,text > text,blue sky  >  blury railway tracks,{},vibro
vbse002,vibro3,3,1668157791000,219026.0,,1300.0,1300.0,1300.0,10000.0,IMAGE,globalFeatures, video 08078 at 00:00:56:50 (Frame #1356),{},vibro
vbse002,vibro3,3,1668157792000,220026.0,,inf,inf,inf,10000.0,TEMPORAL,text > frame,blue sky  >  frame 0114.jpg in video 08078 at 00:00:56:50 (Frame #1356),{},vibro
vbse002,vibro3,3,1668157797000,225026.0,,inf,inf,inf,10000.0,TEMPORAL,text > text,blue sky  >  blury railway tracks moving,{},vibro
vbse002,vibro3,3,1668157819000,247026.0,,inf,inf,inf,10000.0,TEMPORAL,text > frame,blue sky  >  frame 0239.jpg in video 06915 at 00:01:59:00 (Frame #3570),{},vibro
