task,team,user,timestamp,elapsed_since_task_start_ms,correct_submission_time_ms,rank_video,rank_shot_margin_0,rank_shot_margin_5,max_rank,category,type,value,additionals,teamFamily
vbse001,visione1,1,1668157256120,7753.0,87355.0,466.0,466.0,466.0,10000.0,TEXT,jointEmbedding,A woman holding a steaming mug close to the camera.,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse001,visione1,1,1668157303315,54948.0,87355.0,152.0,152.0,152.0,10000.0,TEXT,jointEmbedding,A woman holding a steaming black mug close to the camera,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse001,visione1,1,1668157312748,64381.0,87355.0,37.0,37.0,37.0,10000.0,TEXT,jointEmbedding,"A woman holding a steaming black mug close to the camera, dark background","{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse001,visione1,1,1668157331247,82880.0,87355.0,3.0,3.0,3.0,296.0,TEXT,jointEmbedding,"A woman holding a steaming black mug close to the camera, dark background","{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse001,visione1,1,1668157331247,82880.0,87355.0,3.0,3.0,3.0,296.0,TEXT,jointEmbedding,a building in the dark,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse002,visione1,1,1668157579730,7756.0,,8525.0,inf,inf,10000.0,TEXT,jointEmbedding,Viewer moving fast backwards on railway tracks,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse002,visione1,1,1668157636495,64521.0,,inf,inf,inf,10000.0,Image,globalFeatures,14671/14671_179.jpg,"{""subtype"":""sematic similarity (tern)"",""queryparameter"":""simReorder=false""}",visione
vbse002,visione1,1,1668157658708,86734.0,,inf,inf,inf,10000.0,TEXT,jointEmbedding,"Viewer moving fast backwards on railway tracks, lots of green on the edges","{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse002,visione1,1,1668157673166,101192.0,,123.0,inf,inf,2290.0,TEXT,jointEmbedding,Viewer moving fast backwards on railway tracks,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse002,visione1,1,1668157673166,101192.0,,123.0,inf,inf,2290.0,TEXT,LocalizedObjectAndColors,green,"{""subtype"":""classes"",""queryparameter"":""Temporal_query2, occur=and,simReorder=false""}",visione
vbse002,visione1,1,1668157673166,101192.0,,123.0,inf,inf,2290.0,TEXT, LocalizedObjectAndColors,0cgreen 0dgreen 1cgreen 1dgreen 2cgreen 2dgreen,"{""subtype"":""position"",""queryparameter"":""Temporal_query2, occur=and,simReorder=false""}",visione
vbse002,visione1,1,1668157683694,111720.0,,2881.0,inf,inf,4577.0,TEXT,jointEmbedding,Viewer moving fast backwards on railway tracks,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse002,visione1,1,1668157683694,111720.0,,2881.0,inf,inf,4577.0,TEXT,LocalizedObjectAndColors,green,"{""subtype"":""classes"",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse002,visione1,1,1668157683694,111720.0,,2881.0,inf,inf,4577.0,TEXT,jointEmbedding,railway,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse002,visione1,1,1668157683694,111720.0,,2881.0,inf,inf,4577.0,TEXT, LocalizedObjectAndColors,0cgreen 0dgreen 1cgreen 1dgreen 2cgreen 2dgreen,"{""subtype"":""position"",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse002,visione1,1,1668157693617,121643.0,,3695.0,inf,inf,4198.0,TEXT,jointEmbedding,Viewer moving fast backwards on railway tracks,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
vbse002,visione1,1,1668157693617,121643.0,,3695.0,inf,inf,4198.0,TEXT,LocalizedObjectAndColors,green,"{""subtype"":""classes"",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse002,visione1,1,1668157693617,121643.0,,3695.0,inf,inf,4198.0,TEXT,jointEmbedding,Viewer moving fast backwards on railway tracks,"{""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse002,visione1,1,1668157693617,121643.0,,3695.0,inf,inf,4198.0,TEXT, LocalizedObjectAndColors,0cgreen 0dgreen 1cgreen 1dgreen 2cgreen 2dgreen,"{""subtype"":""position"",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}",visione
vbse002,visione1,1,1668157705864,133890.0,,8525.0,inf,inf,10000.0,TEXT,jointEmbedding,Viewer moving fast backwards on railway tracks,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse002,visione1,1,1668157716296,144322.0,,inf,inf,inf,10000.0,TEXT,jointEmbedding,"Viewer moving fast backwards on railway tracks, green on the side","{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}",visione
vbse002,visione1,1,1668157728238,156264.0,,inf,inf,inf,4406.0,TEXT,jointEmbedding,"Viewer moving fast backwards on railway tracks, green on the side","{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}",visione
