task,team,timestamp,rank_video,elapsed_since_task_start_ms,QT,QT_Explanation,category,type,value,additionals
vbse001,vibro4,1668157254000,47.0,5633.0,Text,type == jointEmbedding,TEXT,jointEmbedding,A woman holding a steaming mug close to the camera.,{}
vbse001,vibro2,1668157255000,47.0,6633.0,Text,type == jointEmbedding,TEXT,jointEmbedding,A woman holding a steaming mug close to the camera.,{}
vbse001,visione1,1668157256120,466.0,7753.0,Text,type == jointEmbedding,TEXT,jointEmbedding,A woman holding a steaming mug close to the camera.,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}"
vbse001,cvhunter3,1668157256442,2.0,8075.0,Text,type == JointEmbedding,TEXT,JointEmbedding,CLIP: A woman holding a steaming mug close to the camera.,{}
vbse001,visione2,1668157256566,466.0,8199.0,Text,type == jointEmbedding,TEXT,jointEmbedding,A woman holding a steaming mug close to the camera.,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}"
vbse001,cvhunter3,1668157257647,2.0,9280.0,Text,type == JointEmbedding,TEXT,JointEmbedding,CLIP: A woman holding a steaming mug close to the camera.,{}
vbse001,vibro1,1668157258000,55.0,9633.0,Text,type == jointEmbedding,TEXT,jointEmbedding,A woman holding a steaming mug close to the camera.,{}
vbse001,vibro3,1668157258000,76.0,9633.0,Text,type == jointEmbedding,TEXT,jointEmbedding, woman holding a steaming mug close to the camera.,{}
vbse001,cvhunter1,1668157262045,2.0,13678.0,Text,type == JointEmbedding,TEXT,JointEmbedding,CLIP: A woman holding a steaming mug close to the camera.,{}
vbse001,cvhunter2,1668157262045,2.0,13678.0,Text,type == JointEmbedding,TEXT,JointEmbedding,CLIP: A woman holding a steaming mug close to the camera.,{}
vbse001,cvhunter4,1668157262675,1.0,14308.0,Text,type == JointEmbedding,TEXT,JointEmbedding,CLIP: A woman holding a steaming mug close to the camera,{}
vbse001,cvhunter2,1668157262836,2.0,14469.0,Text,type == JointEmbedding,TEXT,JointEmbedding,CLIP: A woman holding a steaming mug close to the camera.,{}
vbse001,cvhunter1,1668157263040,2.0,14673.0,Text,type == JointEmbedding,TEXT,JointEmbedding,CLIP: A woman holding a steaming mug close to the camera.,{}
vbse001,visione3,1668157267755,466.0,19388.0,Text,type == jointEmbedding,TEXT,jointEmbedding,A woman holding a steaming mug close to the camera.,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}"
vbse001,vibro1,1668157270000,931.0,21633.0,Image,category == IMAGE,IMAGE,globalFeatures, video 11789 at 00:15:10:50 (Frame #27287),{}
vbse001,visione4,1668157277025,466.0,28658.0,Text,type == jointEmbedding,TEXT,jointEmbedding,A woman holding a steaming mug close to the camera.,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}"
vbse001,vibro3,1668157279000,inf,30633.0,Image,category == IMAGE,IMAGE,globalFeatures, video 06188 at 00:00:20:50 (Frame #512),{}
vbse001,vibro1,1668157280000,55.0,31633.0,Image,category == IMAGE,IMAGE,globalFeatures, video 11789 at 00:15:10:50 (Frame #27287),{}
vbse001,vibro3,1668157284000,76.0,35633.0,Image,category == IMAGE,IMAGE,globalFeatures, video 06188 at 00:00:20:50 (Frame #512),{}
vbse001,vibro3,1668157291000,931.0,42633.0,Image,category == IMAGE,IMAGE,globalFeatures, video 11789 at 00:15:10:50 (Frame #27287),{}
vbse001,vibro2,1668157303000,25.0,54633.0,Text,type == jointEmbedding,TEXT,jointEmbedding,A woman holding a steaming mug ,{}
vbse001,visione1,1668157303315,152.0,54948.0,Text,type == jointEmbedding,TEXT,jointEmbedding,A woman holding a steaming black mug close to the camera,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}"
vbse001,visione2,1668157307457,17.0,59090.0,Temporal,Visione Temporal: Merge of several querries with the same timestamp,TEXT,jointEmbedding,A woman holding a steaming mug close to the camera.+ chinese lamp,"{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}+ {""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}"
vbse001,visione3,1668157309229,139.0,60862.0,Text,type == jointEmbedding,TEXT,jointEmbedding,A woman with purple shirt holding a mug close to the camera.,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}"
vbse001,visione4,1668157310840,193.0,62473.0,ODLS,type == LocalizedObjectAndColors,TEXT,LocalizedObjectAndColors,black,"{""subtype"":""classes"",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}"
vbse001,visione4,1668157310840,193.0,62473.0,Text,type == jointEmbedding,TEXT,jointEmbedding,A woman holding a steaming mug close to the camera.,"{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}"
vbse001,visione4,1668157310840,193.0,62473.0,ODLS,type == LocalizedObjectAndColors,TEXT, LocalizedObjectAndColors,0ablack 0bblack 0cblack 1ablack 1bblack 1cblack 2ablack 2bblack 2cblack 3ablack 3bblack 3cblack,"{""subtype"":""position"",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}"
vbse001,visione1,1668157312748,37.0,64381.0,Text,type == jointEmbedding,TEXT,jointEmbedding,"A woman holding a steaming black mug close to the camera, dark background","{""subtype"":"""",""queryparameter"":""textualMode=clip,occur=and,simReorder=false""}"
vbse001,vibro1,1668157317000,1068.0,68633.0,Image,category == IMAGE,IMAGE,globalFeatures, video 11789 at 00:15:10:50 (Frame #27287),{}
vbse001,vibro3,1668157320000,2.0,71633.0,Image,category == IMAGE,IMAGE,globalFeatures, video 11789 at 00:15:10:50 (Frame #27287),{}
vbse001,visione2,1668157323984,9.0,75617.0,Temporal,Visione Temporal: Merge of several querries with the same timestamp,TEXT,jointEmbedding,"A woman holding a steaming mug close to the camera.+ chinese lamp, raining","{""subtype"":"""",""queryparameter"":""Temporal_query1, textualMode=clip,occur=and,simReorder=false""}+ {""subtype"":"""",""queryparameter"":""Temporal_query2, textualMode=clip,occur=and,simReorder=false""}"
vbse001,vibro1,1668157325000,385.0,76633.0,Image,category == IMAGE,IMAGE,globalFeatures, video 11789 at 00:15:10:50 (Frame #27287),{}
